id,target,max,mean,var,skew,kurtosis,contrast,dissimilarity,homogeneity,ASM,energy,correlation,SRE,LRE,GLU,RLU,RPC,lbp_bin0,lbp_bin1,lbp_bin2,lbp_bin3,lbp_bin4,lbp_bin5,lbp_bin6,lbp_bin7,lbp_bin8,lbp_bin9,lbp_bin10,lbp_bin11,lbp_bin12,lbp_bin13,lbp_bin14,lbp_bin15,lbp_bin16,lbp_bin17,lbp_bin18,lbp_bin19,lbp_bin20,lbp_bin21,lbp_bin22,lbp_bin23,lbp_bin24,lbp_bin25,lbp_bin26,lbp_bin27,lbp_bin28,lbp_bin29
062,0.0,34127.0,1831.8,57916184.90526316,4.114046177355927,14.970026717639378,423.8861949529936,2.302160646544615,0.960682870701671,0.859495161707019,0.9270896190266715,0.9438466915883463,1.084,18362.854,22934.303,341.906,2.026,16.0,0.0,0.0,39.0,0.0,0.0,52.0,0.0,0.0,0.0,511.0,0.0,0.0,436.0,0.0,0.0,442.0,0.0,0.0,0.0,53.0,0.0,0.0,190.0,0.0,0.0,34817.0,0.0,0.0,80.0
062,0.0,1665.0,126.0,152066.52631578947,3.424104872254085,10.631009245841087,2743.107954545455,14.364448051948056,0.8479582309269018,0.4389197133527998,0.6625101609430604,0.8998887553465433,1.393,561.236,733.393,183.17,3.065,1.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,168.0,0.0,0.0,108.0,0.0,0.0,108.0,0.0,0.0,0.0,7.0,0.0,0.0,75.0,0.0,0.0,2039.0,0.0,0.0,5.0
062,0.0,54431.0,4749.2,138301839.1157895,4.052968890132632,14.652174247279362,496.69758247798654,6.0780752846164425,0.6422630194532298,0.31604877253911967,0.5621821524551626,0.9669891854354119,1.499,2033.056,6439.144,7584.32,15.593,865.0,0.0,0.0,1572.0,0.0,0.0,1794.0,0.0,0.0,0.0,6815.0,0.0,0.0,12881.0,0.0,0.0,7374.0,0.0,0.0,0.0,2754.0,0.0,0.0,1707.0,0.0,0.0,56907.0,0.0,0.0,2315.0
062,0.0,34226.0,1822.8,58253843.221052624,4.119771187124087,15.000969792471157,396.09867821959756,2.1788680703109904,0.9622485159625247,0.8732878557124186,0.9344987189463764,0.9393545670523119,1.016,23251.325,15634.896,301.795,2.17,9.0,0.0,0.0,42.0,0.0,0.0,38.0,0.0,0.0,0.0,403.0,0.0,0.0,523.0,0.0,0.0,371.0,0.0,0.0,0.0,39.0,0.0,0.0,118.0,0.0,0.0,34871.0,0.0,0.0,42.0
062,0.0,34765.0,1813.5,60212613.94736842,4.1230325724397465,15.018434768157945,373.62659562659564,1.8014208014208015,0.9776873371015165,0.9118078771446236,0.9548863163458903,0.9227379795976199,0.864,29834.413,24172.582,213.816,1.614,11.0,0.0,0.0,26.0,0.0,0.0,33.0,0.0,0.0,0.0,320.0,0.0,0.0,229.0,0.0,0.0,226.0,0.0,0.0,0.0,15.0,0.0,0.0,89.0,0.0,0.0,35294.0,0.0,0.0,27.0
062,0.0,30291.0,1570.4,45727242.25263157,4.125338412921245,15.030744707539252,323.30294871794865,1.6628205128205125,0.9795290605034468,0.9236271259656474,0.9610552148371327,0.9209137547902286,0.976,26944.981,19021.273,217.139,1.606,6.0,0.0,0.0,14.0,0.0,0.0,24.0,0.0,0.0,0.0,274.0,0.0,0.0,192.0,0.0,0.0,143.0,0.0,0.0,0.0,19.0,0.0,0.0,78.0,0.0,0.0,30642.0,0.0,0.0,16.0
062,0.0,27094.0,1404.9,36584333.46315789,4.1251939767219215,15.029970006485126,374.1222600896861,1.9161255605381167,0.9785388814360705,0.9222500223209797,0.9603384936161727,0.9087041255363152,0.973,24182.246,24440.933,214.455,1.459,1.0,0.0,0.0,14.0,0.0,0.0,21.0,0.0,0.0,0.0,230.0,0.0,0.0,194.0,0.0,0.0,162.0,0.0,0.0,0.0,7.0,0.0,0.0,61.0,0.0,0.0,27394.0,0.0,0.0,14.0
062,0.0,21528.0,1209.0,23032806.52631579,4.084071683733851,14.804300609205967,917.4934566975076,4.893473368342084,0.9375639948094162,0.7768230695805701,0.8813756688158405,0.9207350943616478,1.284,8368.681,8204.537,476.648,2.999,9.0,0.0,0.0,50.0,0.0,0.0,62.0,0.0,0.0,0.0,469.0,0.0,0.0,495.0,0.0,0.0,463.0,0.0,0.0,0.0,32.0,0.0,0.0,152.0,0.0,0.0,22401.0,0.0,0.0,47.0
062,0.0,113067.0,7677.45,616088158.681579,4.121183413705177,15.009416109872301,269.60140015412145,4.081501508561576,0.7338144032383928,0.463302414635916,0.6806632167496022,0.9645307173541835,1.546,4115.451,6954.731,10247.608,17.683,1144.0,0.0,0.0,1957.0,0.0,0.0,1854.0,0.0,0.0,0.0,6864.0,0.0,0.0,18862.0,0.0,0.0,7463.0,0.0,0.0,0.0,2238.0,0.0,0.0,1665.0,0.0,0.0,108912.0,0.0,0.0,2590.0
062,0.0,11036.0,705.6,6082792.67368421,3.955580371589368,14.060141562868786,1268.410142857143,6.513285714285715,0.8840952413084715,0.6006225357142857,0.7749984101366181,0.9349433158255126,1.048,3100.891,3025.274,284.078,3.668,27.0,0.0,0.0,56.0,0.0,0.0,54.0,0.0,0.0,0.0,536.0,0.0,0.0,542.0,0.0,0.0,435.0,0.0,0.0,0.0,77.0,0.0,0.0,173.0,0.0,0.0,12161.0,0.0,0.0,51.0
