0,1,2
ZAP70,pp,RASA1
ZAP70,pp,ZAP70
ZAP70,pp,MAP3K12
ZAP70,pp,MKNK1
ZAP70,pp,RPS6KA4
ZAP70,pp,RPS6KA5
ZAP70,pp,STK17B
ZAP70,pp,STK17A
ZAP70,pp,MAP4K4
ZAP70,pp,OXSR1
ZAP70,pp,MAP4K5
ZAP70,pp,MAP4K1
ZAP70,pp,STK38
ZAP70,pp,ICK
ZAP70,pp,TNIK
ZAP70,pp,DAPK2
ZAP70,pp,MINK1
ZAP70,pp,PINK1
ZAP70,pp,WNK1
ZAP70,pp,SNF1LK
ZAP70,pp,CSNK1D
ZAP70,pp,SRC
ZAP70,pp,LYN
ZAP70,pp,INSR
ZAP70,pp,MAPK14
ZAP70,pp,PTPN22
DAPK2,pp,TGFBR1
DAPK2,pp,CAMK2A
DAPK2,pp,DAPK2
DAPK2,pp,MINK1
DAPK2,pp,PINK1
DAPK2,pp,WNK1
DAPK2,pp,SNF1LK
DAPK2,pp,BCR
PPP4C,pp,PPP6C
PPP4C,pp,PPP2R1A
PPP4C,pp,PPP2CB
PPP4C,pp,IGBP1
JAK3,pp,JAK3
JAK3,pp,LCK
JAK3,pp,JAK1
JAK3,pp,PTPRC
JAK3,pp,JAK2
JAK3,pp,SYK
JAK3,pp,MATK
JAK3,pp,TYK2
JAK3,pp,INPP5D
JAK3,pp,IGF1R
JAK3,pp,ALK
PTK2,pp,EPHA2
PTK2,pp,ERBB3
PTK2,pp,LYN
PTK2,pp,ROCK1
PTK2,pp,SYK
PTK2,pp,FGR
PTK2,pp,PDGFRB
PTK2,pp,PTPN11
PTK2,pp,TRIO
PTK2,pp,EGFR
PTK2,pp,ERBB2
PTK2,pp,FYN
PTK2,pp,PTK2
PTK2,pp,BMX
PTK2,pp,JAK2
PTK2,pp,PTPN1
PTK2,pp,MERTK
PTK2,pp,FLT1
PTK2,pp,CSF1R
PTK2,pp,IGF1R
PTK2,pp,CSK
CDC2L2,pp,CDK2
CDC2L2,pp,GSK3B
CDC2L2,pp,MAPK9
DUSP16,pp,MAPK8
DUSP16,pp,MAPK9
DUSP16,pp,MAPK14
DUSP16,pp,MAPK10
DUSP16,pp,MAPK11
STK4,pp,STK4
STK4,pp,TEC
STK4,pp,ZAP70
STK4,pp,MAP3K12
STK4,pp,MKNK1
STK4,pp,RPS6KA4
STK4,pp,RPS6KA5
STK4,pp,STK17B
STK4,pp,STK17A
STK4,pp,MAP4K4
STK4,pp,OXSR1
STK4,pp,MAP4K5
STK4,pp,MAP4K1
STK4,pp,STK38
STK4,pp,ICK
STK4,pp,TNIK
STK4,pp,DAPK2
STK4,pp,MINK1
STK4,pp,PINK1
STK4,pp,WNK1
STK4,pp,SNF1LK
STK4,pp,CSNK1E
STK4,pp,CSNK2A2
STK4,pp,PRKCB1
ERBB4,pp,ERBB2
ERBB4,pp,ERBB3
ERBB4,pp,ERBB4
ERBB4,pp,PTPN11
ENPP1,pp,INSR
ACVR1,pp,PAK1
ACVR1,pp,ACVR2A
ACVR1,pp,TGFBR1
ACVR1,pp,IKBKB
ACVR1,pp,NUAK2
ACVR1,pp,DUSP13
ACVR1,pp,ACVR1B
ACVR1,pp,ILKAP
ACVR1,pp,UHMK1
ACVR1,pp,NEK8
ACVR1,pp,PFTK1
CIT,pp,RPS6KA3
TNK2,pp,EGFR
TNK2,pp,FYN
TNK2,pp,MINK1
FGFR4,pp,FGFR4
FGFR4,pp,EPHA4
FGFR4,pp,FLT4
PAK7,pp,PAK7
PAK7,pp,CDC2
PAK7,pp,GSK3B
PAK7,pp,MAPK8
PAK7,pp,MAPK9
PHKG1,pp,PHKG2
PHKG1,pp,PRKACB
PHKG1,pp,PRKG1
PHKG1,pp,PHKG1
NUAK2,pp,TGFBR1
TRIM33,pp,TRIM24
MELK,pp,PPP1R8
MELK,pp,CDC25B
MELK,pp,PLK4
MELK,pp,CIT
TXK,pp,TXK
TXK,pp,LYN
TXK,pp,IGF1R
MAP4K4,pp,RASA1
MAP4K4,pp,MAP3K7
MAP4K4,pp,TNIK
MAP4K4,pp,OXSR1
MAP4K4,pp,MAP4K5
MAP4K4,pp,MAP4K1
MAP4K4,pp,STK38
MAP4K4,pp,ICK
MAP4K4,pp,DAPK2
MAP4K4,pp,STK39
MAP4K4,pp,MINK1
MAP4K4,pp,PINK1
MAP4K4,pp,WNK1
MAP4K4,pp,SNF1LK
MAP4K4,pp,MAP3K1
MAP4K4,pp,CDC2
MAP4K4,pp,CSNK2A2
MAP4K4,pp,PRKG1
MAP4K4,pp,GSK3B
MAP4K4,pp,MAPK8
MAP4K4,pp,MAPK9
KDR,pp,BMX
KDR,pp,FLT1
KDR,pp,YES1
KDR,pp,PTPN6
KDR,pp,RASA1
KDR,pp,KDR
KDR,pp,PTPN11
KDR,pp,PDGFRA
KDR,pp,EGFR
KDR,pp,IGF1R
KDR,pp,FYN
MAP3K6,pp,MAP3K5
MAP3K6,pp,CAMK2G
MAP3K6,pp,CAMK2D
ULK1,pp,MINK1
ULK1,pp,ULK2
PTPRA,pp,FYN
PTPRA,pp,PTPRA
PTPRA,pp,LCK
FES,pp,RASA1
FES,pp,FES
FES,pp,PRKCG
FES,pp,ROCK2
FES,pp,JAK3
FES,pp,PTPN6
FES,pp,HCK
FES,pp,BCR
ARAF,pp,ARAF
ARAF,pp,MAP2K1
ARAF,pp,STK10
ARAF,pp,PRKD2
PPFIA3,pp,PPFIA3
PPFIA3,pp,PPFIA2
PPFIA3,pp,PTPRF
PPFIA3,pp,PTPRD
PPFIA3,pp,PTPRS
PPFIA3,pp,CDC2
PPFIA3,pp,GSK3B
PPFIA3,pp,PPFIBP1
PPFIA3,pp,PTPRU
AAK1,pp,CDK2
AAK1,pp,CDC2
AAK1,pp,MAPK1
AAK1,pp,PRKCB1
AAK1,pp,GSK3B
AAK1,pp,MAPK8
TAF1,pp,CDK7
TAF1,pp,TAF1
ERBB2,pp,JAK2
ERBB2,pp,ERBB2
ERBB2,pp,FLT1
ERBB2,pp,LTK
ERBB2,pp,ROR1
ERBB2,pp,PDGFRA
ERBB2,pp,PDGFRB
ERBB2,pp,AURKA
ERBB2,pp,TEK
ERBB2,pp,PRKCB1
ERBB2,pp,LYN
ERBB2,pp,PTPN11
PDK1,pp,ROCK1
PDK1,pp,PRKCD
PDK1,pp,AKT2
PDK1,pp,AKT3
PDK1,pp,RPS6KB1
PDK1,pp,PKN1
PDK1,pp,AKT1
PDK1,pp,MAP3K5
PDK1,pp,SGK2
PDK1,pp,SGK3
PDK1,pp,PKN2
PDK1,pp,PRKCE
PDK1,pp,PRKCZ
PDK1,pp,PAK1
PDK1,pp,PDPK1
PDK1,pp,RPS6KA1
PDK1,pp,MAP2K2
PDK1,pp,MAP2K1
TNNI3K,pp,TNNI3K
TNNI3K,pp,BCR
STK16,pp,STK16
STK16,pp,SNRK
STK16,pp,MELK
PPP1R15B,pp,PPP1CA
MERTK,pp,TNK2
MERTK,pp,BMPR2
MERTK,pp,MERTK
MERTK,pp,IGF1R
CHEK1,pp,CHEK1
CHEK1,pp,CDC25B
CHEK1,pp,CDC25A
CHEK1,pp,CDC25C
CHEK1,pp,TLK1
CHEK1,pp,CHEK2
CHEK1,pp,PRKDC
CHEK1,pp,GSK3B
CHEK1,pp,RPS6KA3
CHEK1,pp,CSNK2A1
CHEK1,pp,WEE1
RPS6KA6,pp,MAPK1
ACP1,pp,EPHB2
ACP1,pp,INSR
ACP1,pp,EPHA2
ACP1,pp,ZAP70
ACP1,pp,KDR
ACP1,pp,ACP1
ACP1,pp,ACPT
ACP1,pp,EPHB1
DUSP7,pp,MAPK1
DUSP7,pp,MAPK8
DUSP7,pp,MAPK14
DUSP7,pp,DUSP9
DYRK1B,pp,MAPK14
DYRK1B,pp,MAPK1
DYRK1B,pp,DYRK1B
MAP4K2,pp,MAP3K11
MAP4K2,pp,MAP3K1
MAP4K2,pp,MAP4K3
MAP4K2,pp,MAP4K5
MAP3K12,pp,MAP3K11
MAP3K12,pp,MKNK1
MAP3K12,pp,TNK1
MAP3K12,pp,RPS6KA4
MAP3K12,pp,RPS6KA5
MAP3K12,pp,STK17B
MAP3K12,pp,STK17A
MAP3K12,pp,MAP4K4
MAP3K12,pp,OXSR1
MAP3K12,pp,HIPK3
MAP3K12,pp,CAMKK2
MAP3K12,pp,MAP4K5
MAP3K12,pp,MAP4K1
MAP3K12,pp,DUSP10
MAP3K12,pp,STK38
MAP3K12,pp,ICK
MAP3K12,pp,TNIK
MAP3K12,pp,DAPK2
MAP3K12,pp,MINK1
MAP3K12,pp,TAOK3
MAP3K12,pp,CRKRS
MAP3K12,pp,PINK1
MAP3K12,pp,WNK1
MAP3K12,pp,SNF1LK
MAP3K12,pp,MAP3K13
